SampleID,Env
DYEY1,kindergarten
DYEY10,kindergarten
DYEY2,kindergarten
DYEY3,kindergarten
DYEY4,kindergarten
DYEY5,kindergarten
DYEY6,kindergarten
DYEY7,kindergarten
DYEY8,kindergarten
DYEY9,kindergarten
TET1,kindergarten
TET10,kindergarten
TET100,kindergarten
TET103,kindergarten
TET104,kindergarten
TET105,kindergarten
TET106,kindergarten
TET107,kindergarten
TET108,kindergarten
TET109,kindergarten
TET110,kindergarten
TET112,kindergarten
TET113,kindergarten
TET114,kindergarten
TET115,kindergarten
TET117,kindergarten
TET118,kindergarten
TET119,kindergarten
TET120,kindergarten
TET121,kindergarten
TET14,kindergarten
TET15,kindergarten
TET16,kindergarten
TET18,kindergarten
TET19,kindergarten
TET2,kindergarten
TET20,kindergarten
TET24,kindergarten
TET26,kindergarten
TET28,kindergarten
TET29,kindergarten
TET31,kindergarten
TET33,kindergarten
TET34,kindergarten
TET35,kindergarten
TET36,kindergarten
TET37,kindergarten
TET38,kindergarten
TET39,kindergarten
TET4,kindergarten
TET40,kindergarten
TET41,kindergarten
TET42,kindergarten
TET43,kindergarten
TET44,kindergarten
TET45,kindergarten
TET46,kindergarten
TET47,kindergarten
TET48,kindergarten
TET5,kindergarten
TET51,kindergarten
TET52,kindergarten
TET53,kindergarten
TET54,kindergarten
TET56,kindergarten
TET57,kindergarten
TET58,kindergarten
TET6,kindergarten
TET60,kindergarten
TET61,kindergarten
TET62,kindergarten
TET63,kindergarten
TET65,kindergarten
TET67,kindergarten
TET68,kindergarten
TET7,kindergarten
TET70,kindergarten
TET71,kindergarten
TET72,kindergarten
TET75,kindergarten
TET76,kindergarten
TET77,kindergarten
TET78,kindergarten
TET79,kindergarten
TET8,kindergarten
TET80,kindergarten
TET81,kindergarten
TET82,kindergarten
TET84,kindergarten
TET85,kindergarten
TET86,kindergarten
TET87,kindergarten
TET88,kindergarten
TET89,kindergarten
TET9,kindergarten
TET90,kindergarten
TET92,kindergarten
TET93,kindergarten
TET94,kindergarten
TET95,kindergarten
TET96,kindergarten
TET97,kindergarten
TET98,kindergarten
DXX1,Pupils
DXX10,Pupils
DXX11,Pupils
DXX116,Pupils
DXX12,Pupils
DXX13,Pupils
DXX136,Pupils
DXX15,Pupils
DXX16,Pupils
DXX17,Pupils
DXX18,Pupils
DXX19,Pupils
DXX2,Pupils
DXX20,Pupils
DXX21,Pupils
DXX22,Pupils
DXX23,Pupils
DXX24,Pupils
DXX25,Pupils
DXX26,Pupils
DXX5,Pupils
DXX6,Pupils
DXX7,Pupils
DXX8,Pupils
DXX9,Pupils
TXX1,Pupils
TXX10,Pupils
TXX101,Pupils
TXX102,Pupils
TXX103,Pupils
TXX104,Pupils
TXX105,Pupils
TXX106,Pupils
TXX107,Pupils
TXX108,Pupils
TXX109,Pupils
TXX11,Pupils
TXX111,Pupils
TXX112,Pupils
TXX113,Pupils
TXX114,Pupils
TXX115,Pupils
TXX118,Pupils
TXX119,Pupils
TXX12,Pupils
TXX120,Pupils
TXX121,Pupils
